0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0.48862,-4.44883,2.54688,-4.4482,-4.4644900000000005,-4.44787,-4.44687,-4.44654,-4.43665,-4.44805,-4.44364,-4.4484,-4.36126,-4.44834,-4.4690900000000005,-4.448980000000001,-4.45125,-4.45031,2.20985,0.49358,-1.5267700000000002,3.1548599999999998,-1.0552700000000002,3.15778,3.239,3.21923,-1.34107,-0.9578,-1.25135,-1.7500200000000001,-4.24832,-1.4034799999999998,-1.44621,-1.08752,-4.44707,-1.26177,3.4100099999999998,-1.7086299999999999,0.49246,-4.4471300000000005,-4.4471099999999995,-4.45068,-4.45086,-4.44829,-4.45085,-4.44843,-4.4482099999999996,-4.45165,-4.44948,-4.45164,-4.44842,-4.450740000000001,-4.44651,-4.4475,-4.4471099999999995,-4.446,-4.44532
0.48844,-4.44879,2.5464700000000002,-4.44899,-4.46611,-4.449669999999999,-4.44902,-4.448869999999999,-4.43735,-4.4505,-4.44661,-4.45006,-4.362480000000001,-4.44867,-4.46845,-4.44846,-4.4486300000000005,-4.44869,2.21115,0.49365,-1.53836,3.14839,-1.0519,3.15235,3.23409,3.2151,-1.33641,-0.95421,-0.40133,-1.7492900000000002,-4.23616,-1.40057,-1.44321,-1.08321,-4.449319999999999,-1.2627899999999999,3.40984,-1.70775,0.49235,-4.44797,-4.44719,-4.45031,-4.45022,-4.447430000000001,-4.449730000000001,-4.44705,-4.44649,-4.44987,-4.44792,-4.44931,-4.446330000000001,-4.4486300000000005,-4.4448300000000005,-4.44635,-4.44666,-4.446219999999999,-4.446359999999999
0.48853,-4.44952,2.54586,-4.449669999999999,-4.46623,-4.4501,-4.44876,-4.448919999999999,-4.438280000000001,-4.45027,-4.44571,-4.44972,-4.36236,-4.44837,-4.46917,-4.44837,-4.45003,-4.44757,2.21046,0.49376000000000003,-1.55131,3.1674900000000004,-1.05087,3.1733599999999997,3.24915,3.2330799999999997,-1.3326,-0.9504600000000001,0.00996,-1.74825,-3.8668099999999996,-1.3966100000000001,-1.4391,-1.08037,-4.44982,-1.26136,3.40982,-1.7047700000000001,0.49232,-4.44761,-4.44718,-4.45026,-4.44991,-4.44709,-4.44944,-4.4471,-4.4465,-4.45028,-4.44871,-4.45012,-4.44721,-4.449330000000001,-4.4454400000000005,-4.44685,-4.44677,-4.44629,-4.44591
0.48854,-4.4492199999999995,2.5455799999999997,-4.44931,-4.46603,-4.4498,-4.44867,-4.448580000000001,-4.43967,-4.44987,-4.444780000000001,-4.44953,-4.3622,-4.44845,-4.46863,-4.4478,-4.44974,-4.44862,2.21202,0.49363,-1.56371,3.19394,-1.04849,3.2002099999999998,3.2685400000000002,3.2548,-1.32903,-0.94691,0.16076,-1.7464400000000002,-4.11711,-1.39225,-1.434,-1.07501,-4.44934,-1.25934,3.4097199999999996,-1.70097,0.4925,-4.44685,-4.44683,-4.44972,-4.4497599999999995,-4.447019999999999,-4.44959,-4.44722,-4.445180000000001,-4.450419999999999,-4.44875,-4.45027,-4.44744,-4.4496,-4.44574,-4.44691,-4.44677,-4.446269999999999,-4.4459599999999995
0.4886,-4.4491,2.54589,-4.449409999999999,-4.46591,-4.44986,-4.44868,-4.44841,-4.4388,-4.44957,-4.44536,-4.4493,-4.3604199999999995,-4.4473400000000005,-4.46857,-4.44871,-4.44947,-4.44609,2.2103200000000003,0.49373,-1.57331,3.19454,-1.04589,3.19358,3.27084,3.24891,-1.32471,-0.94311,0.20839000000000002,-1.74452,-4.18534,-1.38716,-1.42859,-1.06997,-4.44877,-1.25715,3.40981,-1.6970599999999998,0.49238000000000004,-4.44709,-4.44736,-4.45034,-4.4501,-4.447080000000001,-4.44946,-4.44676,-4.44623,-4.44972,-4.44751,-4.44974,-4.447,-4.449330000000001,-4.44575,-4.44712,-4.44706,-4.44656,-4.44634
0.4885,-4.44883,2.5455099999999997,-4.45065,-4.46783,-4.45216,-4.4513,-4.45116,-4.4363,-4.45254,-4.44854,-4.45216,-4.3637,-4.4501,-4.4702,-4.4482,-4.4492400000000005,-4.44686,2.2139900000000003,0.49376000000000003,-1.57775,3.05802,-1.04185,3.05458,3.16471,3.13198,-1.32021,-0.9395600000000001,-0.89746,-1.7442900000000001,-4.174869999999999,-1.38457,-1.4259600000000001,-1.06758,-4.4516,-1.25825,3.4098900000000003,-1.6956799999999999,0.4923,-4.4484699999999995,-4.44796,-4.45005,-4.44902,-4.44536,-4.44725,-4.44436,-4.44384,-4.44715,-4.44489,-4.44723,-4.44475,-4.44766,-4.44457,-4.44686,-4.44776,-4.4480900000000005,-4.44845
0.48845,-4.45103,2.54409,-4.45034,-4.46657,-4.44966,-4.44799,-4.447369999999999,-4.43789,-4.44831,-4.44319,-4.44762,-4.359430000000001,-4.44559,-4.467230000000001,-4.44741,-4.4490099999999995,-4.446619999999999,2.20973,0.49353,-1.5881100000000001,3.0396900000000002,-1.04461,3.04855,3.15998,3.13384,-1.31846,-0.9365,-0.99636,-1.7408700000000001,-4.1597800000000005,-1.37696,-1.4176799999999998,-1.05962,-4.4478599999999995,-1.25248,3.41016,-1.68808,0.49235,-4.44686,-4.44782,-4.451219999999999,-4.45136,-4.44859,-4.4509,-4.4482,-4.4475,-4.45021,-4.44719,-4.44895,-4.4455599999999995,-4.44775,-4.44384,-4.44576,-4.44621,-4.44653,-4.447
0.4886,-4.44956,2.54528,-4.44993,-4.4667,-4.45057,-4.4496400000000005,-4.44929,-4.44016,-4.4503699999999995,-4.44604,-4.4499,-4.3613599999999995,-4.448119999999999,-4.46852,-4.44744,-4.44957,-4.4473400000000005,2.21203,0.49371000000000004,-1.59025,3.0961,-1.04188,3.12575,3.22096,3.21477,-1.31302,-0.93155,-1.19692,-1.73917,-4.21885,-1.37293,-1.41411,-1.0568,-4.44989,-1.25299,3.40994,-1.68597,0.49233000000000005,-4.44742,-4.44759,-4.45035,-4.44971,-4.44666,-4.44878,-4.4462,-4.44573,-4.449330000000001,-4.4477199999999995,-4.44958,-4.44674,-4.44914,-4.44552,-4.44709,-4.44729,-4.44718,-4.44721
0.48854,-4.44966,2.5455099999999997,-4.4501800000000005,-4.46719,-4.45076,-4.44983,-4.4492,-4.43695,-4.45047,-4.44639,-4.450069999999999,-4.36064,-4.44741,-4.46888,-4.4485,-4.44961,-4.44586,2.21171,0.49378999999999995,-1.59269,3.1595,-1.04062,3.166,3.24542,3.22738,-1.3092,-0.9278700000000001,-1.46868,-1.737,-4.23956,-1.36826,-1.4094200000000001,-1.05235,-4.4499,-1.25088,3.40979,-1.6813,0.49236,-4.44735,-4.44787,-4.45044,-4.449990000000001,-4.446619999999999,-4.448980000000001,-4.4461900000000005,-4.445869999999999,-4.4492,-4.44725,-4.44896,-4.44618,-4.4487,-4.44508,-4.44674,-4.4472,-4.4469199999999995,-4.44727
0.4886,-4.44986,2.54527,-4.4504,-4.46741,-4.451,-4.45003,-4.44939,-4.43925,-4.45049,-4.4455599999999995,-4.4499699999999995,-4.36139,-4.448169999999999,-4.46914,-4.44762,-4.44947,-4.4474800000000005,2.21218,0.49363999999999997,-1.59406,3.15263,-1.0387,3.16065,3.24043,3.2231,-1.30552,-0.9242,-0.52991,-1.7351400000000001,-4.1180900000000005,-1.3638700000000001,-1.40501,-1.0474700000000001,-4.45006,-1.24937,3.40985,-1.67608,0.49241999999999997,-4.44714,-4.447690000000001,-4.45046,-4.4499699999999995,-4.44679,-4.4490099999999995,-4.44607,-4.44458,-4.44881,-4.44691,-4.44851,-4.44589,-4.44841,-4.44508,-4.4469199999999995,-4.4474800000000005,-4.44776,-4.448
