0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0.48728,-4.45506,-4.442159999999999,-4.45514,-4.47147,-4.45512,-4.45401,-4.45341,-4.4402099999999995,-4.4545,-4.45026,-4.454,-4.36681,-4.45368,-4.45259,-4.45391,-4.4549,-4.45465,2.2157,0.49244,-1.3057,-4.465669999999999,-1.35295,-4.46318,-4.466080000000001,-4.46293,-1.42626,-1.44005,1.062,-2.01476,-4.46312,-1.74131,-1.74551,-1.6029799999999998,-4.45635,-1.66422,3.4136599999999997,-2.22243,0.49213999999999997,-4.47495,-4.47162,-4.45556,-4.45501,-4.4530400000000006,-4.45429,-4.45236,-4.450830000000001,-4.45443,-4.45216,-4.45409,-4.45137,-4.4536,-4.4499699999999995,-4.44803,-4.45277,-4.4515199999999995,-4.45259
0.4874,-4.45265,-4.44044,-4.4539,-4.4711,-4.4551099999999995,-4.45487,-4.45482,-4.444380000000001,-4.45648,-4.4514,-4.45597,-4.36717,-4.45448,-4.45299,-4.45541,-4.45515,-4.4520800000000005,2.2151400000000003,0.49249,-1.30368,-4.46283,-1.35056,-4.46019,-4.46329,-4.46076,-1.42525,-1.43921,1.10276,-2.0158099999999997,-4.46424,-1.7432,-1.7476,-1.60505,-4.45803,-1.6661,3.4131400000000003,-2.22419,0.49211000000000005,-4.47612,-4.47248,-4.45597,-4.45461,-4.4519,-4.45228,-4.44975,-4.4479,-4.45124,-4.44888,-4.451280000000001,-4.448930000000001,-4.451890000000001,-4.4488199999999996,-4.450130000000001,-4.45308,-4.4515,-4.45402
0.4873,-4.453,-4.44121,-4.45498,-4.47235,-4.45622,-4.45558,-4.45527,-4.44575,-4.45634,-4.451980000000001,-4.455830000000001,-4.3679,-4.454330000000001,-4.45257,-4.45314,-4.4535599999999995,-4.45162,2.21733,0.4926,-1.30241,-4.4617,-1.35035,-4.46079,-4.46472,-4.46251,-1.4278600000000001,-1.44133,1.07656,-2.0179400000000003,-4.46519,-1.74365,-1.7480099999999998,-1.60511,-4.45812,-1.6661400000000002,3.41335,-2.2238900000000004,0.49212,-4.4740400000000005,-4.47031,-4.45336,-4.45215,-4.44949,-4.4505,-4.4484900000000005,-4.44741,-4.45164,-4.450019999999999,-4.45316,-4.45118,-4.454330000000001,-4.451230000000001,-4.4520599999999995,-4.45472,-4.4534199999999995,-4.45464
0.48735,-4.45493,-4.44193,-4.45445,-4.47029,-4.45362,-4.4523,-4.4524099999999995,-4.44048,-4.4545,-4.45098,-4.45525,-4.36701,-4.45451,-4.45373,-4.4555,-4.45496,-4.452319999999999,2.21568,0.49254,-1.3033700000000001,-4.4619,-1.35093,-4.46035,-4.46425,-4.462269999999999,-1.4279700000000002,-1.4412200000000002,1.07057,-2.01631,-4.46379,-1.74237,-1.74627,-1.60346,-4.456180000000001,-1.66418,3.4131,-2.22258,0.49222,-4.47424,-4.47128,-4.45495,-4.45389,-4.45139,-4.45255,-4.45027,-4.44843,-4.45221,-4.45062,-4.45255,-4.45009,-4.45288,-4.44946,-4.448980000000001,-4.453130000000001,-4.4520599999999995,-4.45295
0.48726,-4.45418,-4.44159,-4.4549,-4.47118,-4.45523,-4.45411,-4.45401,-4.444380000000001,-4.45538,-4.45052,-4.45491,-4.36714,-4.453930000000001,-4.45201,-4.45364,-4.45444,-4.45293,2.2153,0.49246999999999996,-1.30491,-4.46331,-1.3531799999999998,-4.46137,-4.46478,-4.4621900000000005,-1.4284700000000001,-1.44084,1.0892700000000002,-2.01704,-4.4638,-1.7432,-1.74718,-1.60404,-4.45714,-1.6648,3.413,-2.2229200000000002,0.49211000000000005,-4.47449,-4.47128,-4.45505,-4.45376,-4.4515,-4.45233,-4.4503900000000005,-4.44848,-4.45266,-4.45116,-4.45294,-4.45062,-4.45327,-4.44985,-4.45038,-4.453180000000001,-4.4515199999999995,-4.45315
0.48725,-4.45374,-4.44151,-4.45466,-4.47126,-4.45515,-4.4541699999999995,-4.4541900000000005,-4.44511,-4.45549,-4.45106,-4.45512,-4.3670800000000005,-4.4539800000000005,-4.45289,-4.454359999999999,-4.45435,-4.4522900000000005,2.21622,0.49248000000000003,-1.30504,-4.46264,-1.3518700000000001,-4.4608099999999995,-4.46439,-4.46205,-1.4290100000000001,-1.4408100000000001,1.07402,-2.01678,-4.4641,-1.74335,-1.7473900000000002,-1.60451,-4.45694,-1.6644299999999999,3.4130199999999995,-2.2231400000000003,0.49223,-4.4741800000000005,-4.47118,-4.45453,-4.45335,-4.45084,-4.4519,-4.44986,-4.44672,-4.45212,-4.45041,-4.45255,-4.45034,-4.45314,-4.450080000000001,-4.45075,-4.4534199999999995,-4.4513300000000005,-4.45352
0.48732,-4.45403,-4.44159,-4.45488,-4.47129,-4.45538,-4.45435,-4.45442,-4.44372,-4.45613,-4.45199,-4.4557199999999995,-4.3679,-4.45395,-4.45216,-4.45264,-4.453130000000001,-4.45175,2.21598,0.49244,-1.3062200000000002,-4.464090000000001,-1.355,-4.46232,-4.465319999999999,-4.4622,-1.42953,-1.44084,1.08718,-2.01801,-4.46494,-1.74458,-1.7489299999999999,-1.60537,-4.457269999999999,-1.66365,3.4134800000000003,-2.22129,0.49222,-4.47308,-4.47047,-4.45466,-4.454359999999999,-4.4524,-4.4538199999999994,-4.45201,-4.45035,-4.45365,-4.45107,-4.4528099999999995,-4.44979,-4.4519400000000005,-4.448180000000001,-4.44862,-4.45191,-4.45149,-4.45338
0.4872,-4.45597,-4.4435400000000005,-4.4567,-4.47291,-4.4568900000000005,-4.4559,-4.45579,-4.44646,-4.4566099999999995,-4.4511199999999995,-4.45493,-4.36762,-4.45242,-4.44983,-4.4518,-4.45178,-4.45065,2.21664,0.49246999999999996,-1.30669,-4.46405,-1.35586,-4.4633400000000005,-4.46692,-4.46459,-1.43306,-1.44387,1.0638299999999998,-2.0190200000000003,-4.46592,-1.74525,-1.74863,-1.60443,-4.45601,-1.66221,3.4136699999999998,-2.2201299999999997,0.49233999999999994,-4.47234,-4.46995,-4.45437,-4.454219999999999,-4.4525,-4.45407,-4.45233,-4.45094,-4.4545,-4.45222,-4.45461,-4.45202,-4.454680000000001,-4.45108,-4.4487,-4.45338,-4.45182,-4.45204
0.48745,-4.45257,-4.440930000000001,-4.45486,-4.47185,-4.45671,-4.45627,-4.45657,-4.44869,-4.45828,-4.45389,-4.45747,-4.36989,-4.45584,-4.4538400000000005,-4.4539599999999995,-4.454269999999999,-4.45225,2.21745,0.49249,-1.30574,-4.46148,-1.3533,-4.45959,-4.46291,-4.46064,-1.43015,-1.44098,1.05855,-2.0190200000000003,-4.465730000000001,-1.7463,-1.75068,-1.60719,-4.45926,-1.6655200000000001,3.41353,-2.2246,0.49217,-4.47602,-4.472580000000001,-4.4557400000000005,-4.45432,-4.45137,-4.45183,-4.4493599999999995,-4.44755,-4.450740000000001,-4.44813,-4.45073,-4.44838,-4.45159,-4.44873,-4.44984,-4.45336,-4.45212,-4.45463
0.48733000000000004,-4.45354,-4.44147,-4.45479,-4.4713400000000005,-4.45555,-4.45493,-4.45495,-4.445209999999999,-4.45651,-4.4520800000000005,-4.4556,-4.36835,-4.454,-4.45212,-4.4535,-4.45363,-4.45228,2.2164599999999997,0.49243000000000003,-1.30836,-4.46321,-1.35626,-4.4618400000000005,-4.46515,-4.462619999999999,-1.4325700000000001,-1.4424299999999999,1.0515700000000001,-2.01916,-4.4647,-1.7449,-1.7487700000000002,-1.60483,-4.45685,-1.66229,3.41335,-2.22265,0.49221000000000004,-4.47436,-4.47104,-4.45465,-4.45385,-4.45144,-4.45254,-4.45041,-4.44891,-4.45244,-4.45055,-4.45248,-4.4499,-4.4528300000000005,-4.44963,-4.45005,-4.45308,-4.45195,-4.45331
