0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0.49008999999999997,-4.45523,2.63381,-4.45595,-4.4728,-4.45566,-4.4547,-4.453880000000001,-4.44148,-4.45458,-4.44955,-4.45366,-4.36126,-4.450819999999999,-4.47361,-4.4526900000000005,-4.4544,-4.44979,2.23055,0.49358,-1.8022,-4.4667,-1.75963,-3.4821800000000005,-4.46745,-0.34455,-1.8996400000000002,-1.63723,0.11210999999999999,-2.0496,-0.8937700000000001,-1.85736,-1.8281900000000002,-1.7401,-4.45474,-1.6946599999999998,3.41911,-2.10852,0.49375,-4.4497800000000005,-4.45017,-4.45303,-4.4526900000000005,-4.44985,-4.45211,-4.45056,-4.44801,-4.45404,-4.45295,-4.4553,-4.45284,-4.45567,-4.45138,-4.45391,-4.45426,-4.45401,-4.45397
0.49,-4.45531,2.63322,-4.45587,-4.47216,-4.45518,-4.45403,-4.45346,-4.44241,-4.454269999999999,-4.44989,-4.4534,-4.3619,-4.4509,-4.47293,-4.45196,-4.45443,-4.45092,2.23239,0.49362,-1.8021599999999998,-4.466819999999999,-1.75908,-3.85883,-4.46785,-0.18886,-1.9001,-1.63739,0.36787,-2.04956,-1.6975900000000002,-1.85715,-1.82797,-1.73995,-4.4543800000000005,-1.69407,3.4191199999999995,-2.10765,0.4935,-4.4501,-4.44988,-4.4528099999999995,-4.452459999999999,-4.44992,-4.4520800000000005,-4.450819999999999,-4.44652,-4.45411,-4.453069999999999,-4.45536,-4.45301,-4.45566,-4.45156,-4.45409,-4.45449,-4.454359999999999,-4.4541
0.48999,-4.45569,2.63332,-4.4560900000000006,-4.47229,-4.4552,-4.4541,-4.4535800000000005,-4.44001,-4.45442,-4.4503,-4.4535,-4.36219,-4.45059,-4.4735,-4.4530199999999995,-4.45448,-4.44945,2.22955,0.4936,-1.8026099999999998,-4.4673099999999994,-1.76004,-3.8382,-4.46824,-0.52005,-1.90075,-1.63841,-0.8522299999999999,-2.05093,-1.7450599999999998,-1.85725,-1.82807,-1.73993,-4.45443,-1.69423,3.41939,-2.10829,0.49371000000000004,-4.45041,-4.44998,-4.45296,-4.45239,-4.44983,-4.45204,-4.45089,-4.4491,-4.4543800000000005,-4.45258,-4.45553,-4.45325,-4.45603,-4.4520599999999995,-4.4545,-4.4547300000000005,-4.4545,-4.45405
0.4899,-4.45715,2.6318599999999996,-4.45719,-4.47284,-4.455369999999999,-4.45385,-4.45248,-4.4403,-4.45239,-4.44736,-4.45139,-4.36099,-4.44954,-4.4724699999999995,-4.45164,-4.45496,-4.45235,2.23038,0.49351999999999996,-1.8048400000000002,-4.46946,-1.7618200000000002,-3.80942,-4.469530000000001,-1.20254,-1.9011799999999999,-1.63808,-0.9835200000000001,-2.04946,-1.90241,-1.85497,-1.82552,-1.7382,-4.453119999999999,-1.6934799999999999,3.4195900000000004,-2.10921,0.49358,-4.45271,-4.45265,-4.45585,-4.455430000000001,-4.45277,-4.4547300000000005,-4.4532,-4.4509300000000005,-4.45541,-4.453,-4.45518,-4.451969999999999,-4.45418,-4.44942,-4.4518,-4.45181,-4.45145,-4.45136
0.49,-4.4545,2.63332,-4.45691,-4.47406,-4.4574300000000004,-4.456580000000001,-4.45595,-4.44576,-4.45657,-4.4522699999999995,-4.45556,-4.363119999999999,-4.452319999999999,-4.47483,-4.45426,-4.45512,-4.4490099999999995,2.23248,0.49373999999999996,-1.8002200000000002,-4.46437,-1.75605,-3.8873900000000003,-4.4648,-1.34132,-1.89793,-1.63497,-1.16411,-2.04914,-1.9683400000000002,-1.85779,-1.8287,-1.7416,-4.45654,-1.69649,3.4192400000000003,-2.11123,0.49333,-4.45352,-4.45287,-4.45569,-4.45464,-4.45136,-4.45263,-4.4504,-4.447769999999999,-4.45213,-4.45041,-4.45217,-4.44937,-4.45201,-4.4474599999999995,-4.4502,-4.45095,-4.45134,-4.451969999999999
0.48995,-4.45584,2.63274,-4.456580000000001,-4.47306,-4.45585,-4.45463,-4.4538199999999994,-4.44181,-4.45442,-4.4503699999999995,-4.45363,-4.36262,-4.45121,-4.47308,-4.45184,-4.45385,-4.45056,2.2318700000000002,0.49371000000000004,-1.80195,-4.4666,-1.7590700000000001,-3.97175,-4.46761,-1.5434700000000001,-1.9001,-1.63626,-1.41977,-2.0491099999999998,-1.5109299999999999,-1.8567200000000001,-1.82728,-1.7399099999999998,-4.45445,-1.6945400000000002,3.41923,-2.109,0.4935,-4.45252,-4.4515199999999995,-4.45445,-4.45339,-4.45047,-4.452380000000001,-4.45073,-4.44853,-4.454,-4.45273,-4.45486,-4.45202,-4.4543,-4.44986,-4.4522,-4.45251,-4.452380000000001,-4.45245
0.49004,-4.45581,2.6331900000000004,-4.45669,-4.4734,-4.45611,-4.45517,-4.45432,-4.44385,-4.45516,-4.45027,-4.454280000000001,-4.36161,-4.45075,-4.47405,-4.45359,-4.45512,-4.448869999999999,2.23096,0.49363,-1.80223,-4.466880000000001,-1.7593,-3.99456,-4.4676599999999995,-1.78067,-1.8995900000000001,-1.6359700000000001,-0.2,-2.04786,-0.92343,-1.8567,-1.82792,-1.7399900000000001,-4.4549199999999995,-1.6952099999999999,3.41929,-2.1095599999999997,0.49354,-4.45288,-4.45171,-4.45474,-4.45399,-4.4511,-4.4530199999999995,-4.45116,-4.4477,-4.45414,-4.45266,-4.45466,-4.451890000000001,-4.45432,-4.4499,-4.452369999999999,-4.45276,-4.4525,-4.45263
0.49001000000000006,-4.455769999999999,2.63301,-4.45659,-4.473330000000001,-4.45613,-4.4551300000000005,-4.4541699999999995,-4.4452,-4.45463,-4.44968,-4.45392,-4.36156,-4.45162,-4.47348,-4.45245,-4.4547,-4.45121,2.23185,0.4936,-1.8018900000000002,-4.46641,-1.7584099999999998,-3.3978900000000003,-4.467219999999999,-0.49051000000000006,-1.8989099999999999,-1.6366399999999999,-0.06965,-2.04802,-0.68412,-1.8566799999999999,-1.8278299999999998,-1.73997,-4.4549199999999995,-1.6948299999999998,3.41911,-2.1095900000000003,0.49353,-4.45334,-4.45199,-4.455,-4.45412,-4.45135,-4.45309,-4.45105,-4.44917,-4.45351,-4.4515199999999995,-4.45394,-4.451230000000001,-4.4538199999999994,-4.44935,-4.45188,-4.45211,-4.45216,-4.45244
0.48996999999999996,-4.455430000000001,2.63311,-4.4566300000000005,-4.47313,-4.4562800000000005,-4.455030000000001,-4.45454,-4.44399,-4.4554599999999995,-4.451309999999999,-4.45469,-4.36164,-4.45101,-4.4736199999999995,-4.45328,-4.45378,-4.44876,2.2314700000000003,0.49371000000000004,-1.8012400000000002,-4.465669999999999,-1.7575599999999998,-3.49497,-4.466469999999999,-0.34801,-1.89858,-1.6360299999999999,0.11322,-2.0487,-0.8466100000000001,-1.85687,-1.8278,-1.7400400000000003,-4.4547,-1.69475,3.4190099999999997,-2.10944,0.49356000000000005,-4.4532099999999994,-4.45177,-4.45467,-4.4536,-4.45075,-4.45247,-4.45049,-4.44907,-4.45345,-4.45132,-4.45385,-4.4511400000000005,-4.45346,-4.44885,-4.45125,-4.45165,-4.45153,-4.45176
0.48993000000000003,-4.45759,2.6312900000000004,-4.4578,-4.47359,-4.45595,-4.45411,-4.45271,-4.44228,-4.45253,-4.44735,-4.4513300000000005,-4.3602099999999995,-4.44865,-4.47105,-4.44996,-4.4527,-4.44977,2.23053,0.49354,-1.8028,-4.46771,-1.7600200000000001,-3.86565,-4.46919,-0.20655,-1.9009,-1.6385900000000002,0.36849,-2.0508900000000003,-1.60348,-1.8577400000000002,-1.82833,-1.7395,-4.45366,-1.69298,3.4191599999999998,-2.10644,0.49386,-4.45019,-4.44871,-4.45179,-4.45149,-4.4494,-4.451919999999999,-4.450830000000001,-4.4501,-4.4549,-4.45308,-4.4560900000000006,-4.45314,-4.45587,-4.45135,-4.45394,-4.45434,-4.45415,-4.454
