0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0.51272,1.26815,1.35414,1.16396,1.2857,1.2208,1.32612,1.29568,1.35913,1.28393,-4.4244900000000005,1.26283,1.26557,1.3179100000000001,3.5602199999999997,1.48055,-4.424169999999999,1.35269,2.1087599999999997,0.59163,-4.42626,1.5974700000000002,1.3522100000000001,3.5574800000000004,1.57589,1.4707299999999999,1.8899099999999998,2.65227,1.17813,2.44211,-0.63595,-4.42256,-4.42385,-4.41901,-4.42594,-4.399369999999999,-3.61769,-4.39711,0.5665100000000001,-4.42143,1.25639,1.16798,1.22386,-4.41193,1.2407700000000002,1.15123,-4.4203,-4.3956599999999995,1.2122700000000002,1.27829,-4.40774,1.27314,1.2295,1.23401,1.22451,1.21984,-4.39727
0.51353,1.26976,1.35285,1.16508,1.2886,1.2208,1.32564,1.2969700000000002,1.35865,1.28119,-4.42352,1.2636399999999999,1.26525,1.31742,3.5607,1.4803899999999999,-4.4257800000000005,1.3547799999999999,2.09218,0.59163,-4.42529,1.59843,1.3485,3.55732,1.57686,1.47009,1.8883,2.64985,1.17909,2.4380900000000003,-0.64271,-4.42014,-4.42433,-4.41934,-4.4203,-4.39953,-3.4916,-4.39534,0.5665100000000001,-4.42401,1.25704,1.17056,1.22322,-4.41225,1.24222,1.15188,-4.42191,-4.39196,1.21339,1.27572,-4.4079,1.27394,1.22805,1.2335200000000002,1.22692,1.22193,-4.39872
0.51337,1.27121,1.35414,1.16057,1.2876299999999998,1.22177,1.32596,1.29713,1.36171,1.28167,-4.42465,1.26621,1.26525,1.3163,3.56006,1.48281,-4.42707,1.35495,2.07913,0.59115,-4.42739,1.59827,1.34915,3.5574800000000004,1.57766,1.47202,1.8870099999999999,2.6463099999999997,1.17925,2.43551,-0.65608,-4.41982,-4.42385,-4.42159,-4.4206199999999995,-4.39824,-3.21558,-4.39615,0.56603,-4.42336,1.2551,1.17072,1.22386,-4.41418,1.2419,1.1522,-4.42272,-4.38906,1.21468,1.277,-4.40935,1.2750700000000001,1.23095,1.2335200000000002,1.22676,1.22338,-4.39872
0.51305,1.26976,1.35527,1.1618600000000001,1.28667,1.22306,1.3275700000000001,1.29585,1.36268,1.28345,-4.42546,1.26396,1.26573,1.31694,3.5597300000000005,1.4842600000000001,-4.4232,1.35382,2.06657,0.59131,-4.427230000000001,1.5976299999999999,1.34995,3.5578,1.57428,1.4717,1.88685,2.63971,1.1774799999999999,2.4329400000000003,-0.66847,-4.42095,-4.4224,-4.42014,-4.42143,-4.39711,-3.88405,-4.39888,0.5665100000000001,-4.42223,1.25526,1.16895,1.22563,-4.41306,1.24061,1.15365,-4.42079,-4.38439,1.21517,1.27894,-4.408869999999999,1.27378,1.23224,1.23433,1.22563,1.22451,-4.39743
0.51272,1.26799,1.35543,1.16218,1.28586,1.2208,1.32628,1.29472,1.36107,1.28345,-4.4244900000000005,1.26203,1.26654,1.31823,3.56006,1.4831299999999998,-4.42111,1.35414,2.08203,0.59131,-4.4269,1.5957,1.3483399999999999,3.55764,1.57428,1.4696,1.8871799999999999,2.63713,1.17523,2.4306799999999997,-0.67765,-4.42191,-4.42272,-4.41934,-4.42175,-4.39953,-4.37231,-4.39824,0.56667,-4.42191,1.2568700000000002,1.1676600000000001,1.2248299999999999,-4.41209,1.2409299999999999,1.15123,-4.419980000000001,-4.38455,1.21275,1.27797,-4.4079,1.27314,1.23111,1.2357799999999999,1.2272399999999999,1.2237,-4.39615
0.51321,1.26863,1.35301,1.16283,1.2882799999999999,1.2190299999999998,1.32644,1.29746,1.3613899999999999,1.28183,-4.42272,1.26396,1.2692700000000001,1.31807,3.55957,1.48281,-4.4232,1.35575,2.0992599999999997,0.59115,-4.42513,1.5974700000000002,1.34625,3.5571599999999997,1.5757299999999999,1.46815,1.8852400000000002,2.63375,1.17523,2.42537,-0.68909,-4.42079,-4.42465,-4.419169999999999,-4.41934,-4.39888,-4.40017,-4.39631,0.56635,-4.42433,1.25768,1.16991,1.22354,-4.4124099999999995,1.2423799999999998,1.15107,-4.42143,-4.38745,1.2137200000000001,1.27668,-4.4071,1.27588,1.2303,1.2353,1.22901,1.22386,-4.39808
0.51305,1.2694299999999998,1.3543,1.16057,1.28989,1.22048,1.3258,1.29665,1.36316,1.28135,-4.42546,1.2646,1.26911,1.3161399999999999,3.5594099999999997,1.48474,-4.42385,1.35575,2.11198,0.59163,-4.4269,1.59731,1.34754,3.55635,1.5755700000000001,1.46912,1.8829900000000002,2.62892,1.17571,2.42311,-0.7031,-4.4195,-4.42336,-4.42079,-4.41901,-4.3976,-4.40066,-4.39792,0.56603,-4.424169999999999,1.25526,1.17169,1.2246700000000001,-4.41354,1.24399,1.15301,-4.42175,-4.3935699999999995,1.21597,1.27749,-4.40951,1.27716,1.23191,1.23433,1.22966,1.22612,-4.39856
0.51305,1.2696,1.3568799999999999,1.1612200000000001,1.28844,1.22193,1.32805,1.29504,1.36429,1.28345,-4.42546,1.26525,1.26911,1.31823,3.5597300000000005,1.4878,-4.4244900000000005,1.35543,2.1144,0.59131,-4.4278699999999995,1.59554,1.34754,3.55651,1.5736299999999999,1.4707299999999999,1.88395,2.62425,1.17571,2.4213400000000003,-0.71405,-4.42127,-4.42223,-4.419980000000001,-4.42111,-4.39695,-4.39888,-4.39872,0.5665100000000001,-4.42336,1.25623,1.16927,1.22676,-4.41289,1.2409299999999999,1.1528399999999999,-4.42143,-4.3976,1.21468,1.27845,-4.409669999999999,1.27572,1.23304,1.2351299999999998,1.22821,1.22789,-4.3976
0.51305,1.26863,1.35752,1.16251,1.28779,1.22128,1.33047,1.29746,1.3638,1.2857,-4.42368,1.2636399999999999,1.26911,1.31984,3.5602199999999997,1.48603,-4.42385,1.3572,2.1082799999999997,0.59099,-4.4261,1.59473,1.34754,3.5568400000000002,1.57396,1.46928,1.8847599999999998,2.6210299999999997,1.1728100000000001,2.4182799999999998,-0.7229,-4.42256,-4.42304,-4.41901,-4.4206199999999995,-4.39921,-4.39727,-4.3984,0.56667,-4.42304,1.2568700000000002,1.1683,1.22547,-4.41145,1.24174,1.15107,-4.4195,-4.39599,1.2142,1.27958,-4.40758,1.2750700000000001,1.2324,1.23658,1.2295,1.22595,-4.39727
0.51321,1.2700799999999999,1.35607,1.16347,1.2911700000000002,1.22048,1.32982,1.2985799999999998,1.36477,1.28328,-4.42352,1.26444,1.2692700000000001,1.32097,3.56054,1.48812,-4.42529,1.35978,2.09185,0.5914699999999999,-4.42513,1.5957,1.34448,3.5568400000000002,1.57476,1.46815,1.88283,2.61958,1.17297,2.4140900000000003,-0.73305,-4.42079,-4.4244900000000005,-4.41885,-4.41901,-4.40001,-4.399369999999999,-4.39438,0.56619,-4.42529,1.2584799999999998,1.16975,1.22451,-4.41161,1.24431,1.1515600000000001,-4.42143,-4.39276,1.21484,1.2778100000000001,-4.40742,1.27765,1.23175,1.23642,1.23207,1.2272399999999999,-4.39856
